qeury metabbolite,gene,gene_type,modification,DeepVCF score,var
Metabolite:hdca_c,P52647,metabolic,overexpress,6.742158e-05,1.8096149e-08
Metabolite:hdca_c,P10443,non-metabolic,knock out,6.720098e-05,1.7358811e-08
Metabolite:hdca_c,P78055,metabolic,knock out,6.682216e-05,1.5663394e-08
Metabolite:hdca_c,P21499,non-metabolic,knock out,6.456615e-05,1.6659621e-08
Metabolite:hdca_c,P76594,non-metabolic,knock out,6.1058556e-05,1.41870515e-08
Metabolite:hdca_c,P21513,non-metabolic,knock out,6.0721137e-05,1.4746062e-08
Metabolite:hdca_c,P0AG07,metabolic,knock out,6.0678274e-05,1.314005e-08
Metabolite:hdca_c,P31470,non-metabolic,knock out,6.0472586e-05,5.85714e-09
Metabolite:hdca_c,P0A9P0,metabolic,overexpress,5.5636105e-05,1.1945632e-08
Metabolite:hdca_c,P21645,metabolic,knock out,5.536861e-05,1.1935654e-08
Metabolite:hdca_c,P0ABF8,metabolic,overexpress,5.3612835e-05,1.073127e-08
Metabolite:hdca_c,P0ACL9,non-metabolic,knock out,5.357701e-05,9.118017e-09
Metabolite:hdca_c,P0A6I0,metabolic,knock out,5.3393604e-05,7.4819955e-09
Metabolite:hdca_c,P77608,metabolic,knock out,5.20804e-05,1.0833426e-08
Metabolite:hdca_c,P0A7A9,non-metabolic,overexpress,4.939236e-05,9.551286e-09
Metabolite:hdca_c,P0AC41,metabolic,overexpress,4.8757083e-05,9.507906e-09
Metabolite:hdca_c,P0CF43,non-metabolic,knock out,4.860824e-05,8.712705e-09
Metabolite:hdca_c,P0A6F3,metabolic,overexpress,4.8086637e-05,7.130681e-09
Metabolite:hdca_c,P10443,non-metabolic,overexpress,4.7154637e-05,8.440582e-09
Metabolite:hdca_c,P0A9M8,metabolic,knock out,4.6239606e-05,2.728044e-09
Metabolite:hdca_c,P02931,metabolic,knock out,4.380719e-05,2.92295e-09
Metabolite:hdca_c,P0ADP5,non-metabolic,knock out,3.977918e-05,5.982031e-09
Metabolite:hdca_c,P0AEX5,non-metabolic,overexpress,3.9667542e-05,6.1452687e-09
Metabolite:hdca_c,P52045,metabolic,overexpress,3.960291e-05,6.203493e-09
Metabolite:hdca_c,P0A6V8,metabolic,overexpress,3.958474e-05,6.0342082e-09
Metabolite:hdca_c,P0A9B2,metabolic,knock out,3.9519997e-05,5.7032348e-09
Metabolite:hdca_c,P0A905,non-metabolic,knock out,3.938863e-05,5.9323897e-09
Metabolite:hdca_c,P0AC47,metabolic,overexpress,3.840111e-05,5.890716e-09
Metabolite:hdca_c,P0A924,metabolic,overexpress,3.7994294e-05,2.5543379e-09
Metabolite:hdca_c,P0A6I6,metabolic,knock out,3.7321424e-05,5.1514317e-09
Metabolite:hdca_c,P77504,non-metabolic,overexpress,3.72026e-05,5.419533e-09
Metabolite:hdca_c,P17994,non-metabolic,overexpress,3.5793117e-05,4.658479e-09
Metabolite:hdca_c,P0AEX5,non-metabolic,knock out,3.4602508e-05,3.4338155e-09
Metabolite:hdca_c,P76541,non-metabolic,overexpress,3.3598197e-05,2.5410096e-09
Metabolite:hdca_c,P25888,non-metabolic,knock out,3.3525263e-05,4.353642e-09
Metabolite:hdca_c,P0AEU7,non-metabolic,knock out,3.3225784e-05,2.8197187e-09
Metabolite:hdca_c,P0A6Z1,non-metabolic,knock out,3.2465356e-05,4.160939e-09
Metabolite:hdca_c,P0A905,non-metabolic,overexpress,3.1744898e-05,3.2847467e-09
Metabolite:hdca_c,P0A6S7,metabolic,knock out,2.962258e-05,1.3479046e-09
Metabolite:hdca_c,P10378,metabolic,overexpress,2.9063498e-05,3.3786318e-09
Metabolite:hdca_c,P0A917,non-metabolic,knock out,2.7882084e-05,1.2327047e-09
Metabolite:hdca_c,P45568,metabolic,knock out,2.7836204e-05,3.0697636e-09
Metabolite:hdca_c,Q47679,non-metabolic,knock out,2.7476863e-05,2.9984295e-09
Metabolite:hdca_c,P11454,metabolic,overexpress,2.7201037e-05,2.905399e-09
Metabolite:hdca_c,P27302,metabolic,knock out,2.6982334e-05,2.7036218e-09
Metabolite:hdca_c,P25738,non-metabolic,knock out,2.6833266e-05,2.5087483e-09
Metabolite:hdca_c,P0A6I6,metabolic,overexpress,2.6520447e-05,1.5144023e-09
Metabolite:hdca_c,P39196,metabolic,knock out,2.578006e-05,2.036381e-09
Metabolite:hdca_c,P00894,metabolic,knock out,2.5222122e-05,2.2192164e-09
Metabolite:hdca_c,P0A867,metabolic,knock out,2.3878598e-05,5.6079874e-10
Metabolite:hdca_c,Q46911,non-metabolic,knock out,2.3472914e-05,2.1996667e-09
Metabolite:hdca_c,P0A7Z4,non-metabolic,knock out,2.3419543e-05,2.1836832e-09
Metabolite:hdca_c,P77218,metabolic,knock out,2.3343278e-05,8.3642754e-10
Metabolite:hdca_c,P0ADF8,metabolic,overexpress,2.3268842e-05,1.9100381e-09
Metabolite:hdca_c,P0AAU7,non-metabolic,overexpress,2.1576177e-05,1.8614932e-09
Metabolite:hdca_c,P10378,metabolic,knock out,2.151228e-05,1.8506603e-09
Metabolite:hdca_c,P0AC44,metabolic,knock out,2.114655e-05,1.7423638e-09
Metabolite:hdca_c,P32129,non-metabolic,knock out,2.104182e-05,1.7540589e-09
Metabolite:hdca_c,P0ABE9,metabolic,knock out,2.1039128e-05,1.5568574e-09
Metabolite:hdca_c,P60584,non-metabolic,knock out,2.0904237e-05,6.369527e-10
Metabolite:hdca_c,P77297,non-metabolic,overexpress,2.0718655e-05,1.6359827e-09
Metabolite:hdca_c,P0A924,metabolic,knock out,2.0501595e-05,1.1505591e-09
Metabolite:hdca_c,P09372,non-metabolic,knock out,1.9940437e-05,1.5183206e-09
Metabolite:hdca_c,P31057,metabolic,knock out,1.9609584e-05,1.5149333e-09
Metabolite:hdca_c,P0A6I3,metabolic,overexpress,1.8799208e-05,1.4085193e-09
Metabolite:hdca_c,P14407,metabolic,knock out,1.8243018e-05,1.296733e-09
Metabolite:hdca_c,P76092,non-metabolic,knock out,1.7775623e-05,7.8184537e-10
Metabolite:hdca_c,P25798,non-metabolic,knock out,1.7699438e-05,1.2284731e-09
Metabolite:hdca_c,P0A6M4,non-metabolic,knock out,1.765321e-05,1.2375396e-09
Metabolite:hdca_c,P0A6X3,non-metabolic,knock out,1.7559782e-05,1.1978669e-09
Metabolite:hdca_c,P10442,non-metabolic,knock out,1.7238764e-05,1.1753658e-09
Metabolite:hdca_c,P27835,metabolic,knock out,1.7121805e-05,1.1717647e-09
Metabolite:hdca_c,P25437,metabolic,knock out,1.6958858e-05,1.1282658e-09
Metabolite:hdca_c,P18200,metabolic,overexpress,1.6608994e-05,9.0748176e-10
Metabolite:hdca_c,P0A6L9,non-metabolic,knock out,1.6400123e-05,1.0742969e-09
Metabolite:hdca_c,P0AGB3,non-metabolic,knock out,1.6220882e-05,1.0368731e-09
Metabolite:hdca_c,P0A796,metabolic,overexpress,1.6034288e-05,9.925603e-10
Metabolite:hdca_c,P69423,non-metabolic,knock out,1.5918877e-05,1.0135766e-09
Metabolite:hdca_c,P0A8A8,non-metabolic,knock out,1.5707028e-05,9.838306e-10
Metabolite:hdca_c,P07014,metabolic,overexpress,1.5488817e-05,9.0961183e-10
Metabolite:hdca_c,P0CF43,non-metabolic,overexpress,1.5320371e-05,4.0384968e-10
Metabolite:hdca_c,P0A6V8,metabolic,knock out,1.5110187e-05,6.0304456e-10
Metabolite:hdca_c,P31470,non-metabolic,overexpress,1.510391e-05,2.7813138e-10
Metabolite:hdca_c,P0AC33,metabolic,overexpress,1.50544365e-05,7.4053064e-10
Metabolite:hdca_c,P24240,metabolic,knock out,1.5011874e-05,8.4331325e-10
Metabolite:hdca_c,P11875,non-metabolic,knock out,1.48659865e-05,8.8340146e-10
Metabolite:hdca_c,Q46911,non-metabolic,overexpress,1.4672364e-05,8.0278617e-10
Metabolite:hdca_c,P52643,metabolic,knock out,1.4554541e-05,2.6098176e-10
Metabolite:hdca_c,P0A9R4,non-metabolic,knock out,1.4542425e-05,8.145181e-10
Metabolite:hdca_c,P28304,non-metabolic,knock out,1.4535481e-05,8.4112334e-10
Metabolite:hdca_c,P75960,non-metabolic,overexpress,1.4504182e-05,7.496893e-10
Metabolite:hdca_c,P0A6Z3,non-metabolic,knock out,1.4322849e-05,8.1928164e-10
Metabolite:hdca_c,P0AC41,metabolic,knock out,1.4218424e-05,7.8964807e-10
Metabolite:hdca_c,P38521,non-metabolic,knock out,1.41757455e-05,3.5046527e-10
