CPX-1715	P35169 P38873 P41318 Q08921
CPX-1716	P32600 P38873 P41318 Q08921
CPX-1717	P32600 P40061 P41318 P47041 Q04749 Q08236
CPX-1718	P36116 P39904 P47061 Q12071
CPX-1719	P36122 P40955 Q05029 Q08754 Q12114
CPX-1720	P53942 Q05635 Q12338
CPX-1721	P00401 P00410 P00420 P00424 P00427 P04037 P04039 P07255 P10174 P32799 Q01519
CPX-1722	P00401 P00410 P00420 P00425 P00427 P04037 P04039 P07255 P10174 P32799 Q01519
CPX-1726	P38351 P38439 P53064 P89105 Q06697
CPX-1730	P34230 P41909
CPX-1731	P25559 P38251 P38629 P38877 P40339 P40348 P49956
CPX-1732	P32807 Q04437
CPX-1733	P39744 Q12176
CPX-1734	P39744 Q07896
CPX-1735	Q06512 Q99207
CPX-1738	P15624 P15625
CPX-1739	P33300 P35206
CPX-1740	P35206 P38287
CPX-1741	P0CS90 P12294
CPX-1742	P47058 Q9URQ3
CPX-1743	P32527 P38788
CPX-1744	P14693 P50110 P53969
CPX-1786	P33891 P53847 Q12745
CPX-1787	P18410 P38757
CPX-1793	O13539 P17629 P33441 P53552 P53851 Q07478 Q12159
CPX-1892	P28627 P46972 Q05676
CPX-5304	P22214 P28791 P41834 P53146
CPX-5321	P33328 Q03322 Q04338 Q08144
CPX-5322	P31109 Q03322 Q04338 Q08144
CPX-5341	P32328 P40484
CPX-1887	P32912 P36015 Q04338 Q12241
CPX-5401	P32912 Q04338 Q12241 Q12255
CPX-5421	P31377 P32854 P36015 Q04338
CPX-5422	P32854 P36015 Q03322 Q04338
CPX-5423	P31109 P32854 Q03322 Q04338
CPX-5424	P31109 P31377 P32854 Q04338
CPX-5441	P17122 P53061
CPX-5442	P17122 P40511 P53061
CPX-5461	P31377 P32854 P33328 Q04338
CPX-5462	P32854 P33328 Q03322 Q04338
CPX-1365	P31109 P32867 P40357
CPX-5463	P32867 P33328 P40357
CPX-5464	P31109 P32867 Q04359
CPX-5465	P33328 P39926 P40357
CPX-5466	P32867 P33328 Q04359
CPX-1369	P31109 P39926 P40357
CPX-5521	P32867 P40357 Q12255
CPX-1800	P06100 P06102 P25655 P31384 P34909 P39008 P53280 P53829 Q12514
CPX-1805	P33420 P36224 P38696 Q04549 Q07887
CPX-1806	P48581 Q02574 Q08949
CPX-1807	P32641 P38251 P38629 P40339 P40348
CPX-1808	P33892 P43535
CPX-1809	P21651 P29467 P32841
CPX-1810	P34218 P35189 P47128 Q08465 Q12311
CPX-1811	P06700 P06701 P11978
CPX-1812	P06780 P38631
