dataset	taxaID	locus	gene	essentiality
108	83333	csgD	csgD	NE
108	83333	csgE	csgE	NE
108	83333	csgF	csgF	NE
108	83333	csgG	csgG	NE
108	83333	csiA	csiA	NE
108	83333	csiB	csiB	NE
108	83333	csiC	csiC	NE
108	83333	csiD	csiD	NE
108	83333	csiE	csiE	NE
108	83333	csiF	csiF	NE
108	83333	csiR	csiR	NE
108	83333	cspA	cspA	NE
108	83333	cspB	cspB	NE
108	83333	cspC	cspC	NE
108	83333	cspD	cspD	NE
108	83333	cspE	cspE	NE
108	83333	cspF	cspF	NE
108	83333	cspG	cspG	NE
108	83333	cspH	cspH	NE
108	83333	cspI	cspI	NE
108	83333	csrA	csrA	E
108	83333	csrB	csrB	NE
108	83333	csrC	csrC	NE
108	83333	csrD	csrD	NE
108	83333	cstA	cstA	NE
108	83333	cueO	cueO	NE
108	83333	cueR	cueR	NE
108	83333	cup	cup	NE
108	83333	curA	curA	NE
108	83333	cusA	cusA	NE
108	83333	cusB	cusB	NE
108	83333	cusC	cusC	NE
108	83333	cusF	cusF	NE
108	83333	cusR	cusR	NE
108	83333	cusS	cusS	NE
108	83333	cutA	cutA	NE
108	83333	cutC	cutC	NE
108	83333	cvpA	cvpA	NE
108	83333	cvrA	cvrA	NE
108	83333	cxm	cxm	NE
108	83333	cyaA	cyaA	NE
108	83333	cyaR	cyaR	NE
108	83333	cyaY	cyaY	NE
108	83333	cybB	cybB	NE
108	83333	cybC	cybC	NE
108	83333	cycA	cycA	NE
108	83333	cydA	cydA	NE
108	83333	cydB	cydB	NE
108	83333	cydC	cydC	NE
108	83333	cydD	cydD	NE
108	83333	cynR	cynR	NE
108	83333	cynS	cynS	NE
108	83333	cynT	cynT	NE
108	83333	cynX	cynX	NE
108	83333	cyoA	cyoA	NE
108	83333	cyoB	cyoB	NE
108	83333	cyoC	cyoC	NE
108	83333	cyoD	cyoD	NE
108	83333	cyoE	cyoE	NE
108	83333	cysA	cysA	NE
108	83333	cysB	cysB	NE
108	83333	cysC	cysC	NE
108	83333	cysD	cysD	NE
108	83333	cysE	cysE	NE
108	83333	cysG	cysG	NE
108	83333	cysH	cysH	NE
108	83333	cysI	cysI	NE
108	83333	cysJ	cysJ	NE
